,Date,Name,Split,Amount
,08/16/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/16/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/16/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/16/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/16/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/16/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/16/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/17/2017,St. Raphael Home & School,0102 · Huntington Operating,500.00
,08/17/2017,Indeed,2063 · Fidelity Visa Signature Card,503.91
,08/17/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/17/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/17/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/17/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/17/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/17/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/17/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/17/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/17/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/17/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/17/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/17/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/17/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/17/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/17/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/17/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/17/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/17/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/18/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/18/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/18/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/18/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/18/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/18/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/18/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/18/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/18/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/18/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/18/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/18/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/18/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/18/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/21/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
