AIdent,Hours_Worked
185491,38
185491,30.75
185494,22.48
185494,346.46
185494,99.01
185495,60.83
185499,12
185499,26.3
185499,69.26
185499,9.5
185500,11.5
185500,17.5
185501,14.83
185503,615.05
185504,158
185508,0
185508,0
185508,1.25
185508,17.23
185510,244.9
185511,332.4
185517,7.4
185520,8
185523,40
185523,64
185523,10.25
185528,92.02
185528,279.55
185528,8
185528,3.75
185533,773.5
185533,48
185533,96
185541,654.49
185546,10.75
185551,208.24
185551,461.5
185552,93.25
185561,1000
185565,14.93
185567,73.6
185567,6.5
185573,32
185573,7.5
185575,32
185576,32
185576,22.5
185577,368.25
185578,8
185580,380.99
185580,198.64
185581,5.52
185582,32
185583,13.5
185587,104
185589,0
185589,1.25
185591,7.5
185591,40.16
185594,41.5
185597,208.98
185602,48
185602,64
185604,102.5
185605,16
185605,64.25
185606,16
185606,32
185606,16
185608,16
185608,32
185608,336.5
185609,0
185610,774.75
185611,925.6
185611,139
185612,471.5
185612,522.5
185613,11.5
185614,79.25
185614,19
185615,0
185615,0
185615,1.25
185615,7.63
185616,20.98
185616,6.87
185623,723.67
185627,20
185636,94.5
185638,7.5
185641,154.16
185641,255.9
185641,165.11
185642,12.75
185643,298.31
185643,134.49
185646,19.56
185647,91.4
185649,39.01
185649,5.3
185650,361.29
185650,191.61
185651,25.6
185652,3.5
185652,7.25
185653,40
185656,32.24
185657,270.36
185662,7.5
185663,7.5
185665,237.42
185665,182.26
185665,40.88
185666,23.33
185667,12.9
185667,78.82
185667,6.4
185668,22
185674,24
185674,921
185676,385.95
185676,327.46
185680,406.7
185681,2.25
185682,183.94
185684,95.97
185689,5
185690,5
185691,235.68
185691,678.25
185693,49.36
185694,253.5
185695,76
185696,268.75
185700,8
185701,8
185703,2
185707,262.75
185708,600.53
185709,20.21
185710,57.65
185713,101
185716,267.6
185718,51.75
185718,8
185719,24
185719,2
185722,817.3
185723,39.5
185723,39.2
185723,38.16
185723,49.36
185723,204.58
185724,51.81
185724,8
185724,58.75
185724,76.03
185725,115.18
185726,64
185727,495.5
185729,16
185730,8
185730,89.5
185733,8
185733,87.5
185737,40.6
185738,269.69
185738,159.4
185739,41.25
185739,18
185745,328.25
185747,112.25
185747,125.25
185749,40
185756,40.3
185756,23.77
185756,10.19
185758,48.25
185758,8
185758,15
185758,7.97
185759,5.25
185760,26.75
185761,24
185765,22.75
185766,6
185767,64.13
185767,8
185769,7.5
185770,149
185771,3.5
185771,15
185778,524.75
185778,69.75
185779,155.75
185779,129.75
185783,305.43
185783,142.19
185787,43.16
185788,16.78
185788,68.37
185788,54.46
185791,73.62
185792,44.9
185794,17.5
185794,8.3
185794,12.36
185794,7.5
185794,3.5
185795,93.3
185798,19.25
185799,106.2
185803,9.43
185804,80.02
185804,26.13
185805,24
185807,12.75
185809,49.37
185809,35.97
185809,46.05
185809,231.48
185809,84.32
185809,47.2
185810,43.07
185811,64.24
185811,15
185812,10
185812,19.76
185819,28.52
185819,11.47
185827,2.34
185828,6.05
185830,769
185831,57
185831,107.92
185832,320.4
185832,305.63
185832,392.89
185833,224.85
185833,298.84
185834,436.58
185835,960
185839,79.82
185840,70.07
185840,0
185840,43
185840,70.59
185841,4.5
185841,96
185841,74
185842,138.3
185842,437.92
185842,179.4
185843,166.25
185845,166.75
185846,329.43
185847,360.5
185847,293.75
185848,346.5
185848,231.5
185849,64
185849,46.2
185849,6.1
185849,36
185850,8
185851,135.5
185852,181.75
185852,501.25
185852,113.25
185855,216
185857,100.5
185858,29.9
185858,7.5
185859,372
185859,447
185860,891.18
185863,24
185864,402.75
185864,32
185865,27
185867,9
185868,255.25
185868,357
185869,48
185870,49
185872,14.37
185874,57.08
185874,56.56
185874,61.23
185875,152.2
185875,73.9
185875,674.1
185876,247.17
185876,329.08
185876,115.18
185876,74.91
185876,113.5
185877,39.75
185878,39.5
185882,20.2
185888,5
185890,24
185895,120
185895,751
185900,15.93
185904,141.58
185908,28.78
185915,47.38
185917,8
185919,24
185921,16.8
185922,97.97
185922,10.1
185923,88.44
185924,378.75
185931,693.14
185932,13
185933,185.75
185933,51.25
185933,284.62
185934,54.2
185934,431.66
185934,76.75
185934,2.6
185935,307.31
185935,198.46
185935,30.08
185937,40
185937,244.07
185939,633.8
185939,56
185945,47.7
185945,20.2
185950,7
185950,18.33
185951,2.2
185953,120
185953,759
185954,840
185960,271.51
185960,135.07
185962,259.25
185962,104.84
185963,8
185963,24
185966,94
