,Item_ID,AIdent,Branch,How_Heard,Profit
237,671296,210069,11-Florence,Walk-In,70.3328
238,671193,210130,11-Florence,Walk-In,96.3232
239,671196,210139,11-Florence,Walk-In,100.0432
240,672135,210139,11-Florence,Walk-In,8.26
241,671192,210140,11-Florence,,258.5152
242,673054,210140,11-Florence,,79.4199
243,671197,210142,11-Florence,Walk-In,37.2
244,671986,210147,11-Florence,Other web site,159.6624
245,671190,210167,11-Florence,Friend/Relative Referral,974.6896
246,671685,210213,11-Florence,Friend/Relative Referral,1102.9056
247,674849,210213,11-Florence,Friend/Relative Referral,903.6288
248,671988,210214,11-Florence,Friend/Relative Referral,748.1664
249,675637,210214,11-Florence,Friend/Relative Referral,964.1016
250,671200,210285,11-Florence,Friend/Relative Referral,187.488
251,673099,210285,11-Florence,Friend/Relative Referral,135.0923
252,678055,210285,11-Florence,Friend/Relative Referral,350.0175
253,671294,210320,11-Florence,Indeed,339.264
254,671295,210381,11-Florence,Indeed,467.8768
255,671291,210454,11-Florence,,164.7216
256,671682,210491,11-Florence,Friend/Relative Referral,316.944
257,671678,210492,11-Florence,Friend/Relative Referral,387.8224
258,672492,210576,11-Florence,Friend/Relative Referral,235.9968
259,671684,210619,11-Florence,Friend/Relative Referral,421.104
260,677502,210619,11-Florence,Friend/Relative Referral,356.235
261,671990,220663,11-Florence,,249.8848
262,671982,220664,11-Florence,,371.5536
263,678136,220664,11-Florence,,30.2729
264,677529,220664,11-Florence,,90.725
265,676931,220664,11-Florence,,115.005
266,671677,220691,11-Florence,Walk-In,165.664
267,671985,220711,11-Florence,Friend/Relative Referral,330.336
268,671980,220798,11-Florence,Friend/Relative Referral,574.4672
269,665564,185779,06-Akron,Indeed,845.7225
270,672700,185779,06-Akron,Indeed,704.5425
271,669622,209495,12-Chicago,,477.84
272,669548,208220,03-Independence,Indeed,2861.632
273,670007,208211,03-Independence,Indeed,2703.595
274,677574,224646,08-Columbus West,Indeed,250.04
275,678349,224747,07-Columbus East,Indeed,170.565
276,675878,222101,12-Chicago,Indeed,1699.4125
277,674133,222101,12-Chicago,Indeed,396.375
278,670069,184416,07-Columbus East,Indeed,1320.528
279,666990,184416,07-Columbus East,Indeed,785.876
280,666452,184416,07-Columbus East,Indeed,95.4006
281,676106,184416,07-Columbus East,Indeed,363.59
282,675972,184416,07-Columbus East,Indeed,17.6
283,663997,184416,07-Columbus East,Indeed,646.5
